transaction_text,category
Medlife #1769,Healthcare
Pizza Hut #6247,Coffee & Dining
Grubhub #3064,Food Delivery
Hyatt #3567,Travel
Broadband Bill #4130,Bills & Utilities
Marriott #3143,Travel
Goibibo #2361,Travel
Best Buy #5706,Shopping
Manipal Hospital #6425,Healthcare
Flipkart Electronics #4439,Electronics
Red Cross #3447,Donations
Zara #1830,Shopping
Just Eat #6708,Food Delivery
OnePlus Store #1488,Electronics
Subway #1154,Coffee & Dining
ICICI Prudential #3297,Insurance
Zara #4359,Shopping
Taxi #8660,Transport
Manipal Hospital #2920,Healthcare
Taj Hotels #2420,Travel
Swiggy #8863,Food Delivery
D-Mart Fresh #5880,Groceries
Walmart Grocery #3919,Groceries
YouTube Premium #6853,Entertainment
Quizlet #8500,Education
D-Mart #4006,Shopping
Auto Rickshaw #3967,Transport
Cafe Coffee Day #5224,Coffee & Dining
Taxi #6176,Transport
Flipkart Electronics #9399,Electronics
ICICI Prudential #7588,Insurance
Barista #2927,Coffee & Dining
Carrefour #9385,Groceries
ICICI Prudential #8780,Insurance
HDFC ATM #2261,Cash Withdrawal
edX #8567,Education
Amazon Prime #5567,Entertainment
Spotify #8863,Entertainment
Walmart Grocery #8299,Groceries
Spotify #7233,Entertainment
LIC #8369,Insurance
Big Bazaar #6261,Shopping
Expedia #1344,Travel
Barista #7761,Coffee & Dining
Zara #3941,Shopping
GiveIndia #4138,Donations
Deliveroo #3961,Food Delivery
Auto Rickshaw #2479,Transport
Costa Coffee #9818,Coffee & Dining
ICICI Prudential #3900,Insurance
Punjab National Bank ATM #1387,Cash Withdrawal
Airbnb #3556,Travel
BookMyShow #3405,Entertainment
ExxonMobil #4852,Fuel
Lyft #7369,Transport
Flipkart Electronics #5862,Electronics
GiveIndia #7369,Donations
Zee5 #5847,Entertainment
Quizlet #8993,Education
Medlife #7962,Healthcare
ICICI ATM #4723,Cash Withdrawal
Hyatt #8664,Travel
BigBasket #1246,Groceries
Child Rights and You #5910,Donations
Netflix #3417,Entertainment
Child Rights and You #4026,Donations
Byju's #9342,Education
Udemy #2395,Education
HelpAge India #6155,Donations
Walmart Electronics #9294,Electronics
IKEA #6422,Shopping
Marriott #7051,Travel
BPCL #2737,Fuel
OnePlus Store #5522,Electronics
Electricity Bill #7947,Bills & Utilities
Broadband Bill #7301,Bills & Utilities
Electricity Bill #8174,Bills & Utilities
SBI Life #2934,Insurance
Airbnb #3091,Travel
Flipkart Electronics #2300,Electronics
Zomato #4854,Food Delivery
OYO #3554,Travel
Internet Bill #8044,Bills & Utilities
AIIMS #6441,Healthcare
Apollo Pharmacy #3206,Healthcare
Kotak ATM #7610,Cash Withdrawal
Nike #1690,Shopping
Fortis Hospital #2773,Healthcare
Target #9531,Shopping
Big Bazaar #7044,Shopping
Pizza Hut #1079,Coffee & Dining
HDFC ATM #4474,Cash Withdrawal
Save the Children #8741,Donations
Aditya Birla Sun Life #4279,Insurance
Taj Hotels #9698,Travel
OnePlus Store #4410,Electronics
HDFC ATM #4392,Cash Withdrawal
Caltex #9498,Fuel
Amazon Electronics #6450,Electronics
Internet Bill #7639,Bills & Utilities
Carrefour #5801,Groceries
Hotstar #5851,Entertainment
Save the Children #3190,Donations
Taj Hotels #8875,Travel
Netmeds #5364,Healthcare
KFC #3633,Coffee & Dining
Didi #7306,Transport
Flipkart #8673,Shopping
Dominos #5903,Coffee & Dining
Amazon #6269,Shopping
Shell Petrol #6917,Fuel
Costa Coffee #9261,Coffee & Dining
Axis ATM #2570,Cash Withdrawal
Reliance Trends #4801,Shopping
Punjab National Bank ATM #5294,Cash Withdrawal
GiveIndia #7566,Donations
Didi #8837,Transport
Foodpanda #7518,Food Delivery
D-Mart #9658,Shopping
Internet Bill #2866,Bills & Utilities
Tata AIA #9240,Insurance
H&M #9878,Shopping
Bank of Baroda ATM #6715,Cash Withdrawal
Caltex #5099,Fuel
ICICI Prudential #6632,Insurance
Postmates #5924,Food Delivery
HDFC Insurance #1226,Insurance
Apple TV+ #4056,Entertainment
Punjab National Bank ATM #9190,Cash Withdrawal
Landline Bill #6900,Bills & Utilities
Hulu #7766,Entertainment
SBI ATM #4301,Cash Withdrawal
LIC #2722,Insurance
SBI ATM #7509,Cash Withdrawal
Airbnb #8154,Travel
Hilton #2579,Travel
Tata AIA #3454,Insurance
Internet Bill #2281,Bills & Utilities
Pizza Hut #5277,Coffee & Dining
Kotak ATM #5736,Cash Withdrawal
Cable TV Bill #3813,Bills & Utilities
Mobile Recharge #4947,Bills & Utilities
Save the Children #4037,Donations
Byju's #1822,Education
Quizlet #8832,Education
Spotify #7746,Entertainment
Narayana Health #7564,Healthcare
Coursera #8677,Education
Tata AIA #7727,Insurance
Gas Bill #9674,Bills & Utilities
MakeMyTrip #3861,Travel
Booking.com #7701,Travel
Electricity Bill #3316,Bills & Utilities
Marriott #8434,Travel
D-Mart Fresh #1587,Groceries
Taj Hotels #9651,Travel
Airbnb #3526,Travel
Bank of Baroda ATM #8797,Cash Withdrawal
HP Petrol #6363,Fuel
Target Electronics #1848,Electronics
Byju's #9888,Education
Dunzo #1068,Food Delivery
OnePlus Store #7850,Electronics
Dominos #1901,Coffee & Dining
Hilton #7128,Travel
Postmates #6518,Food Delivery
Flipkart Electronics #1013,Electronics
Total Petrol #2479,Fuel
Taxi #6227,Transport
Child Rights and You #7941,Donations
Burger King #8846,Coffee & Dining
UNICEF #2361,Donations
Bajaj Allianz #6318,Insurance
Flipkart Electronics #3340,Electronics
edX #3809,Education
Quizlet #6660,Education
H&M #7669,Shopping
Costa Coffee #7008,Coffee & Dining
Cable TV Bill #1278,Bills & Utilities
Shell Petrol #9808,Fuel
Narayana Health #2226,Healthcare
edX #5887,Education
Flipkart Electronics #5780,Electronics
Rapido #1567,Transport
Udemy #1576,Education
Chegg #3917,Education
Starbucks #7260,Coffee & Dining
Walmart Electronics #5944,Electronics
Fortis Hospital #5950,Healthcare
Apple Store #4246,Electronics
Xiaomi Store #5679,Electronics
Chevron #6134,Fuel
Pharmeasy #1171,Healthcare
OnePlus Store #4023,Electronics
Red Cross #3495,Donations
Bajaj Allianz #8766,Insurance
HelpAge India #4793,Donations
Electricity Bill #4307,Bills & Utilities
Marriott #1554,Travel
Big Bazaar #4583,Shopping
Walmart Electronics #3089,Electronics
Netflix #7931,Entertainment
Cafe Coffee Day #2095,Coffee & Dining
Walmart Grocery #3676,Groceries
Ola #7050,Transport
Gas Bill #1953,Bills & Utilities
Burger King #9939,Coffee & Dining
Broadband Bill #4298,Bills & Utilities
Punjab National Bank ATM #3231,Cash Withdrawal
Pizza Hut #4196,Coffee & Dining
Target Electronics #9884,Electronics
Child Rights and You #6579,Donations
Apple Store #5584,Electronics
Khan Academy #1067,Education
Burger King #9433,Coffee & Dining
Costa Coffee #9484,Coffee & Dining
D-Mart Fresh #8845,Groceries
Cable TV Bill #9731,Bills & Utilities
BPCL #4681,Fuel
Hotstar #6170,Entertainment
Nike #3135,Shopping
Water Bill #3648,Bills & Utilities
Khan Academy #8283,Education
Byju's #6555,Education
Marriott #3884,Travel
Pharmeasy #7330,Healthcare
UNICEF #5637,Donations
Spotify #1234,Entertainment
HP Petrol #1251,Fuel
Xiaomi Store #2084,Electronics
Big Bazaar #5423,Shopping
Zara #6407,Shopping
Walmart Grocery #7983,Groceries
Red Cross #8016,Donations
Grab #3250,Transport
Bank of Baroda ATM #5676,Cash Withdrawal
Amazon Prime #7957,Entertainment
HDFC ATM #1444,Cash Withdrawal
MakeMyTrip #1399,Travel
Goibibo #7696,Travel
Pizza Hut #1470,Coffee & Dining
Byju's #3537,Education
Best Buy Electronics #5965,Electronics
Fortis Hospital #6513,Healthcare
SonyLIV #3268,Entertainment
Apple Store #6075,Electronics
OnePlus Store #4049,Electronics
Max Life #9775,Insurance
Bolt #7221,Transport
Cable TV Bill #4399,Bills & Utilities
Deliveroo #7523,Food Delivery
BookMyShow #2269,Entertainment
D-Mart Fresh #3438,Groceries
Grubhub #2888,Food Delivery
KFC #3641,Coffee & Dining
Punjab National Bank ATM #4530,Cash Withdrawal
Postmates #9367,Food Delivery
Red Cross #4752,Donations
Grofers #9522,Groceries
Zara #2780,Shopping
Landline Bill #8183,Bills & Utilities
Ola #1628,Transport
Hyatt #8509,Travel
ICICI Prudential #9728,Insurance
Max Hospital #2939,Healthcare
Carrefour #8357,Groceries
SBI Life #7747,Insurance
BookMyShow #5737,Entertainment
YouTube Premium #2013,Entertainment
Starbucks #1295,Coffee & Dining
Reliance Trends #6438,Shopping
Chevron #7941,Fuel
Foodpanda #2574,Food Delivery
Water Bill #2928,Bills & Utilities
Subway #5586,Coffee & Dining
Didi #3254,Transport
Kotak ATM #1236,Cash Withdrawal
Apple TV+ #3839,Entertainment
Landline Bill #1484,Bills & Utilities
Costa Coffee #7587,Coffee & Dining
Bajaj Allianz #5258,Insurance
Disney+ #1573,Entertainment
Indian Oil #1833,Fuel
Apple Store #4015,Electronics
Apple TV+ #3847,Entertainment
Byju's #9564,Education
Netmeds #8158,Healthcare
Walmart Electronics #5455,Electronics
Lyft #1125,Transport
Punjab National Bank ATM #2306,Cash Withdrawal
Burger King #8174,Coffee & Dining
HDFC Insurance #2132,Insurance
Hulu #7483,Entertainment
Manipal Hospital #5649,Healthcare
Narayana Health #8828,Healthcare
SBI Life #5795,Insurance
Hulu #4101,Entertainment
Max Hospital #7038,Healthcare
Uber Eats #2268,Food Delivery
Chegg #1943,Education
Fortis Hospital #5447,Healthcare
Reliance Fresh #9512,Groceries
Aldi #6511,Groceries
Barista #6297,Coffee & Dining
Manipal Hospital #6726,Healthcare
Udemy #7804,Education
Grab #7165,Transport
D-Mart Fresh #7707,Groceries
Axis ATM #1588,Cash Withdrawal
Narayana Health #4728,Healthcare
Amazon Fresh #2848,Groceries
Broadband Bill #3675,Bills & Utilities
Zomato #5512,Food Delivery
Electricity Bill #8021,Bills & Utilities
D-Mart #3850,Shopping
Dominos #6471,Coffee & Dining
McDonalds #3368,Coffee & Dining
Disney+ #8010,Entertainment
Broadband Bill #8956,Bills & Utilities
Hotstar #6526,Entertainment
Punjab National Bank ATM #8887,Cash Withdrawal
Gojek #4580,Transport
Akshaya Patra #3042,Donations
Landline Bill #2097,Bills & Utilities
Aldi #5609,Groceries
Target Electronics #6619,Electronics
Grubhub #3945,Food Delivery
HP Petrol #7656,Fuel
Grubhub #4780,Food Delivery
Internet Bill #9658,Bills & Utilities
Goibibo #1716,Travel
Flipkart Electronics #3460,Electronics
Disney+ #2773,Entertainment
Tata AIA #8807,Insurance
LIC #4423,Insurance
Red Cross #2715,Donations
Caltex #2980,Fuel
Best Buy #3125,Shopping
edX #7505,Education
Aditya Birla Sun Life #1786,Insurance
Landline Bill #9275,Bills & Utilities
Child Rights and You #9048,Donations
Fortis Hospital #2455,Healthcare
Uber #9142,Transport
Water Bill #9839,Bills & Utilities
Mobile Recharge #1842,Bills & Utilities
AIIMS #6503,Healthcare
Aldi #1402,Groceries
Carrefour #4757,Groceries
Aditya Birla Sun Life #9784,Insurance
Udemy #1650,Education
Netflix #2682,Entertainment
Disney+ #1659,Entertainment
Adidas #8480,Shopping
HP Petrol #2689,Fuel
Just Eat #3619,Food Delivery
Walmart #7593,Shopping
Apple Store #3914,Electronics
BookMyShow #6278,Entertainment
Foodpanda #2314,Food Delivery
Target Electronics #6184,Electronics
Punjab National Bank ATM #7411,Cash Withdrawal
Barista #7561,Coffee & Dining
Aldi #2753,Groceries
BP #3321,Fuel
Apple Store #8786,Electronics
Zomato #1495,Food Delivery
Max Hospital #7223,Healthcare
Carrefour #2359,Groceries
Chegg #3636,Education
Dominos #7056,Coffee & Dining
BP #9590,Fuel
Walmart Grocery #9589,Groceries
Unacademy #7716,Education
BPCL #3186,Fuel
Big Bazaar #9191,Shopping
Disney+ #1003,Entertainment
Zomato #7517,Food Delivery
Axis ATM #7516,Cash Withdrawal
Just Eat #7116,Food Delivery
Red Cross #1431,Donations
HDFC Insurance #2326,Insurance
GiveIndia #8650,Donations
Internet Bill #6267,Bills & Utilities
D-Mart Fresh #7998,Groceries
Save the Children #7611,Donations
Grofers #5127,Groceries
HelpAge India #3179,Donations
Quizlet #5357,Education
Spotify #3974,Entertainment
HelpAge India #9427,Donations
Gas Bill #3806,Bills & Utilities
Target Electronics #2722,Electronics
Disney+ #5474,Entertainment
ICICI ATM #5678,Cash Withdrawal
Xiaomi Store #1538,Electronics
Bank of Baroda ATM #7440,Cash Withdrawal
Walmart Electronics #7025,Electronics
ICICI ATM #7505,Cash Withdrawal
IKEA #7743,Shopping
Axis ATM #4012,Cash Withdrawal
Ola #2207,Transport
Grubhub #9916,Food Delivery
Zee5 #2457,Entertainment
Taj Hotels #9078,Travel
Electricity Bill #1265,Bills & Utilities
Cable TV Bill #8032,Bills & Utilities
Bank of Baroda ATM #7767,Cash Withdrawal
Ola #2892,Transport
OYO #1404,Travel
Grab #8387,Transport
Apple Store #5966,Electronics
KFC #5212,Coffee & Dining
YouTube Premium #8545,Entertainment
Kotak ATM #1553,Cash Withdrawal
AIIMS #4318,Healthcare
ICICI Prudential #6286,Insurance
H&M #2057,Shopping
Internet Bill #7576,Bills & Utilities
Gojek #3610,Transport
Uber Eats #8324,Food Delivery
ExxonMobil #7164,Fuel
Axis ATM #5506,Cash Withdrawal
Toppr #4640,Education
Electricity Bill #3569,Bills & Utilities
Dominos #3784,Coffee & Dining
Broadband Bill #5841,Bills & Utilities
Amazon Electronics #2298,Electronics
Disney+ #6848,Entertainment
SBI ATM #2592,Cash Withdrawal
Best Buy Electronics #5282,Electronics
BigBasket #4378,Groceries
Burger King #8284,Coffee & Dining
LIC #5316,Insurance
Pizza Hut #3938,Coffee & Dining
Apple Store #5044,Electronics
Tata AIA #1088,Insurance
BookMyShow #1299,Entertainment
Foodpanda #4651,Food Delivery
BigBasket #9075,Groceries
Vedantu #6011,Education
Hulu #8384,Entertainment
Carrefour #8636,Groceries
Total Petrol #8578,Fuel
Marriott #4950,Travel
Shell Petrol #1727,Fuel
Khan Academy #1140,Education
Bajaj Allianz #8219,Insurance
Uber Eats #2601,Food Delivery
Netmeds #2048,Healthcare
Walmart Grocery #3782,Groceries
Reliance Trends #5749,Shopping
Grab #4501,Transport
Gulf Petrol #5788,Fuel
Amazon Electronics #3661,Electronics
Foodpanda #5595,Food Delivery
OnePlus Store #6161,Electronics
ICICI Prudential #6813,Insurance
Walmart Electronics #8046,Electronics
Child Rights and You #8249,Donations
Dominos #5609,Coffee & Dining
Save the Children #2537,Donations
Chegg #2390,Education
edX #9284,Education
Byju's #3849,Education
Starbucks #7915,Coffee & Dining
Chegg #8213,Education
Save the Children #8554,Donations
Mobile Recharge #8324,Bills & Utilities
Vedantu #9215,Education
Bajaj Allianz #8835,Insurance
Walmart Electronics #8164,Electronics
D-Mart Fresh #4043,Groceries
UNICEF #3207,Donations
Save the Children #1977,Donations
Child Rights and You #5363,Donations
Rapido #5125,Transport
YouTube Premium #8126,Entertainment
Cafe Coffee Day #2909,Coffee & Dining
Mobile Recharge #1427,Bills & Utilities
Landline Bill #5091,Bills & Utilities
Medlife #3124,Healthcare
BPCL #4306,Fuel
Uber Eats #7131,Food Delivery
Zee5 #1168,Entertainment
Spotify #7653,Entertainment
Coursera #1405,Education
Hilton #8748,Travel
Axis ATM #3896,Cash Withdrawal
Tata AIA #8442,Insurance
D-Mart Fresh #3049,Groceries
Landline Bill #1887,Bills & Utilities
GiveIndia #7594,Donations
Amazon Fresh #2368,Groceries
HDFC Insurance #9831,Insurance
Just Eat #8067,Food Delivery
Landline Bill #5214,Bills & Utilities
Red Cross #5927,Donations
Swiggy #1107,Food Delivery
BookMyShow #7331,Entertainment
BookMyShow #7511,Entertainment
Auto Rickshaw #3098,Transport
Lidl #3979,Groceries
Foodpanda #2808,Food Delivery
Taj Hotels #4025,Travel
Gas Bill #5821,Bills & Utilities
Chegg #1593,Education
SonyLIV #9711,Entertainment
Udemy #1844,Education
SBI Life #8816,Insurance
Kotak ATM #6538,Cash Withdrawal
MakeMyTrip #6470,Travel
Uber Eats #3670,Food Delivery
LIC #7846,Insurance
Walmart Electronics #7831,Electronics
Akshaya Patra #5355,Donations
Red Cross #1031,Donations
Zara #7782,Shopping
Flipkart #5690,Shopping
HelpAge India #5846,Donations
Uber Eats #5821,Food Delivery
Bank of Baroda ATM #4379,Cash Withdrawal
Starbucks #3345,Coffee & Dining
D-Mart #3686,Shopping
Vedantu #1277,Education
Aldi #2680,Groceries
Mobile Recharge #6367,Bills & Utilities
Goibibo #6388,Travel
Medlife #9139,Healthcare
D-Mart #7440,Shopping
Child Rights and You #6584,Donations
Chegg #9085,Education
Big Bazaar #1666,Shopping
Dunzo #5568,Food Delivery
Target #1234,Shopping
Akshaya Patra #1642,Donations
Best Buy #1989,Shopping
BookMyShow #3314,Entertainment
Punjab National Bank ATM #7780,Cash Withdrawal
Marriott #3687,Travel
Zomato #2546,Food Delivery
BP #3940,Fuel
SBI ATM #8555,Cash Withdrawal
Apple Store #1131,Electronics
Costa Coffee #4932,Coffee & Dining
Narayana Health #7303,Healthcare
Cable TV Bill #3964,Bills & Utilities
Punjab National Bank ATM #8851,Cash Withdrawal
Toppr #7086,Education
DoorDash #1495,Food Delivery
Total Petrol #2842,Fuel
Fortis Hospital #3126,Healthcare
edX #8420,Education
HDFC Insurance #2151,Insurance
Uber #9665,Transport
Samsung Store #8298,Electronics
Indian Oil #1560,Fuel
Cable TV Bill #8721,Bills & Utilities
BPCL #2253,Fuel
Caltex #4279,Fuel
Canara Bank ATM #3366,Cash Withdrawal
Zee5 #6807,Entertainment
Spotify #6803,Entertainment
Best Buy Electronics #8489,Electronics
Deliveroo #9999,Food Delivery
HelpAge India #7962,Donations
YouTube Premium #5213,Entertainment
Taxi #6903,Transport
Barista #4622,Coffee & Dining
Vedantu #1814,Education
Chegg #9185,Education
Max Life #3864,Insurance
Grab #9977,Transport
Akshaya Patra #3413,Donations
Foodpanda #9442,Food Delivery
Nike #8373,Shopping
MakeMyTrip #3279,Travel
Hulu #6457,Entertainment
Chevron #2519,Fuel
Barista #7512,Coffee & Dining
Postmates #6354,Food Delivery
Flipkart #1463,Shopping
Zee5 #8147,Entertainment
Chegg #2897,Education
Walmart Grocery #1373,Groceries
Deliveroo #9452,Food Delivery
OYO #4557,Travel
Toppr #6929,Education
SBI Life #6784,Insurance
Dominos #6591,Coffee & Dining
H&M #2739,Shopping
Electricity Bill #3037,Bills & Utilities
GiveIndia #3399,Donations
Samsung Store #4222,Electronics
Burger King #2055,Coffee & Dining
Booking.com #4986,Travel
Child Rights and You #3914,Donations
YouTube Premium #3482,Entertainment
McDonalds #3807,Coffee & Dining
Fortis Hospital #1515,Healthcare
Apple Store #2413,Electronics
Broadband Bill #1123,Bills & Utilities
SBI ATM #5106,Cash Withdrawal
LIC #9815,Insurance
Canara Bank ATM #3365,Cash Withdrawal
Samsung Store #5100,Electronics
Pizza Hut #9958,Coffee & Dining
Auto Rickshaw #6245,Transport
Cable TV Bill #7494,Bills & Utilities
Rapido #9485,Transport
Aditya Birla Sun Life #9340,Insurance
Barista #3425,Coffee & Dining
Grubhub #6777,Food Delivery
SBI ATM #4823,Cash Withdrawal
Taxi #7117,Transport
Punjab National Bank ATM #9801,Cash Withdrawal
Airbnb #1751,Travel
Toppr #3822,Education
Grofers #9402,Groceries
Best Buy #8399,Shopping
Best Buy Electronics #5032,Electronics
Red Cross #3824,Donations
Tata AIA #3428,Insurance
Gas Bill #9217,Bills & Utilities
Child Rights and You #7031,Donations
McDonalds #1091,Coffee & Dining
UNICEF #4053,Donations
Akshaya Patra #5399,Donations
Myntra #8233,Shopping
Shell Petrol #3635,Fuel
Water Bill #1465,Bills & Utilities
Carrefour #3642,Groceries
Grubhub #2954,Food Delivery
Taxi #9751,Transport
Broadband Bill #2218,Bills & Utilities
Apollo Pharmacy #4704,Healthcare
Narayana Health #4475,Healthcare
Expedia #6650,Travel
Xiaomi Store #4116,Electronics
Adidas #2824,Shopping
Apollo Pharmacy #1525,Healthcare
SonyLIV #6921,Entertainment
Max Life #1295,Insurance
Fortis Hospital #7680,Healthcare
Walmart Electronics #1635,Electronics
Rapido #4827,Transport
Bajaj Allianz #6030,Insurance
Costa Coffee #6002,Coffee & Dining
Xiaomi Store #2097,Electronics
Udemy #9676,Education
Netflix #5571,Entertainment
Costa Coffee #6872,Coffee & Dining
Aditya Birla Sun Life #7132,Insurance
Didi #4594,Transport
Burger King #4197,Coffee & Dining
Hyatt #2709,Travel
Xiaomi Store #2499,Electronics
SonyLIV #9113,Entertainment
Subway #2491,Coffee & Dining
Amazon #4842,Shopping
Goibibo #4077,Travel
Akshaya Patra #8876,Donations
Target Electronics #8107,Electronics
Aldi #9579,Groceries
Electricity Bill #3348,Bills & Utilities
Lyft #2952,Transport
Zee5 #3212,Entertainment
Spotify #7031,Entertainment
D-Mart Fresh #2359,Groceries
Target Electronics #9753,Electronics
Just Eat #8529,Food Delivery
Landline Bill #2690,Bills & Utilities
Grab #5812,Transport
Akshaya Patra #9890,Donations
Apple TV+ #8114,Entertainment
Red Cross #3794,Donations
YouTube Premium #6030,Entertainment
Apple TV+ #2744,Entertainment
Byju's #1434,Education
Akshaya Patra #9045,Donations
Max Life #1681,Insurance
Medlife #9882,Healthcare
Carrefour #2836,Groceries
Amazon Fresh #3463,Groceries
Costa Coffee #5841,Coffee & Dining
Tata AIA #2006,Insurance
Chegg #1568,Education
Target Electronics #6399,Electronics
Toppr #5454,Education
Best Buy Electronics #8262,Electronics
Fortis Hospital #8192,Healthcare
D-Mart Fresh #1141,Groceries
HelpAge India #8684,Donations
Zomato #1349,Food Delivery
Kotak ATM #9355,Cash Withdrawal
Axis ATM #7076,Cash Withdrawal
Mobile Recharge #4798,Bills & Utilities
Electricity Bill #1946,Bills & Utilities
KFC #1672,Coffee & Dining
UNICEF #7940,Donations
Quizlet #9343,Education
Taxi #6600,Transport
Dunzo #3557,Food Delivery
Deliveroo #1853,Food Delivery
Amazon Electronics #4126,Electronics
BPCL #1759,Fuel
edX #8365,Education
Booking.com #4524,Travel
Medlife #8285,Healthcare
Disney+ #9223,Entertainment
Mobile Recharge #4040,Bills & Utilities
Aditya Birla Sun Life #4591,Insurance
Netflix #2450,Entertainment
Mobile Recharge #2033,Bills & Utilities
Auto Rickshaw #3860,Transport
Netmeds #7720,Healthcare
Auto Rickshaw #3148,Transport
Coursera #6753,Education
Electricity Bill #1400,Bills & Utilities
Mobile Recharge #3678,Bills & Utilities
Internet Bill #8758,Bills & Utilities
Mobile Recharge #4331,Bills & Utilities
Broadband Bill #8711,Bills & Utilities
Max Life #9540,Insurance
LIC #2709,Insurance
Zara #7121,Shopping
Costa Coffee #3174,Coffee & Dining
Zee5 #8408,Entertainment
Uber #4917,Transport
Chegg #5566,Education
Save the Children #5998,Donations
Lyft #6591,Transport
Samsung Store #9741,Electronics
Samsung Store #2492,Electronics
Udemy #5914,Education
Booking.com #3132,Travel
Walmart Electronics #6011,Electronics
Mobile Recharge #5053,Bills & Utilities
Max Hospital #8950,Healthcare
Expedia #5734,Travel
Max Life #7792,Insurance
Postmates #1631,Food Delivery
Best Buy Electronics #6898,Electronics
HDFC Insurance #7210,Insurance
ICICI ATM #7418,Cash Withdrawal
Caltex #5158,Fuel
D-Mart #6493,Shopping
BP #4829,Fuel
Grubhub #2125,Food Delivery
BigBasket #8547,Groceries
Tata AIA #1188,Insurance
Udemy #8779,Education
Foodpanda #7742,Food Delivery
Max Hospital #4919,Healthcare
Reliance Trends #5915,Shopping
Foodpanda #9457,Food Delivery
Pizza Hut #9661,Coffee & Dining
HDFC ATM #7924,Cash Withdrawal
Gulf Petrol #9655,Fuel
IKEA #1581,Shopping
Walmart Grocery #2300,Groceries
Reliance Fresh #9455,Groceries
MakeMyTrip #8605,Travel
Taj Hotels #7364,Travel
Quizlet #7102,Education
UNICEF #3880,Donations
AIIMS #2316,Healthcare
Tesco #8822,Groceries
SonyLIV #1319,Entertainment
Target Electronics #1968,Electronics
Dunzo #5580,Food Delivery
HDFC ATM #4517,Cash Withdrawal
Medlife #5799,Healthcare
Pharmeasy #3837,Healthcare
Reliance Fresh #3147,Groceries
Total Petrol #3289,Fuel
Auto Rickshaw #8743,Transport
Auto Rickshaw #6625,Transport
Starbucks #6145,Coffee & Dining
Amazon Prime #2812,Entertainment
Rapido #8464,Transport
OYO #6113,Travel
Punjab National Bank ATM #3866,Cash Withdrawal
Taxi #6700,Transport
Broadband Bill #4725,Bills & Utilities
KFC #8441,Coffee & Dining
ICICI Prudential #1245,Insurance
Foodpanda #5009,Food Delivery
ExxonMobil #3207,Fuel
Hilton #3469,Travel
Gas Bill #2032,Bills & Utilities
Canara Bank ATM #6771,Cash Withdrawal
Byju's #3927,Education
GiveIndia #4103,Donations
Manipal Hospital #9735,Healthcare
Uber Eats #5092,Food Delivery
Canara Bank ATM #1143,Cash Withdrawal
BPCL #9740,Fuel
Postmates #8469,Food Delivery
Save the Children #5263,Donations
Walmart Grocery #3598,Groceries
Tesco #1370,Groceries
Akshaya Patra #7069,Donations
Grubhub #5268,Food Delivery
Dominos #3400,Coffee & Dining
Axis ATM #7586,Cash Withdrawal
Rapido #4088,Transport
Caltex #8813,Fuel
Hotstar #4261,Entertainment
Netflix #7568,Entertainment
ExxonMobil #3746,Fuel
Grofers #3031,Groceries
Airbnb #6753,Travel
Hotstar #4952,Entertainment
D-Mart #3363,Shopping
AIIMS #6089,Healthcare
Xiaomi Store #4139,Electronics
Canara Bank ATM #2090,Cash Withdrawal
Hilton #8153,Travel
Target Electronics #8581,Electronics
Lyft #9528,Transport
Kotak ATM #1677,Cash Withdrawal
BP #9396,Fuel
Amazon Electronics #5958,Electronics
Carrefour #5572,Groceries
Grofers #9349,Groceries
Zara #2725,Shopping
SBI ATM #1417,Cash Withdrawal
BPCL #3630,Fuel
Lyft #2704,Transport
Hilton #7424,Travel
Lidl #5537,Groceries
Hyatt #4988,Travel
Lidl #8261,Groceries
Gulf Petrol #3322,Fuel
Netflix #1705,Entertainment
Indian Oil #1086,Fuel
UNICEF #7520,Donations
Zomato #1610,Food Delivery
Manipal Hospital #7739,Healthcare
DoorDash #6324,Food Delivery
Mobile Recharge #2428,Bills & Utilities
Disney+ #2528,Entertainment
Bank of Baroda ATM #9734,Cash Withdrawal
Fortis Hospital #7433,Healthcare
Broadband Bill #2112,Bills & Utilities
Subway #8677,Coffee & Dining
Toppr #6959,Education
Byju's #3797,Education
Internet Bill #1275,Bills & Utilities
Akshaya Patra #6590,Donations
Quizlet #6669,Education
Pizza Hut #3288,Coffee & Dining
Bank of Baroda ATM #4161,Cash Withdrawal
Gas Bill #3125,Bills & Utilities
BP #7544,Fuel
Uber Eats #2033,Food Delivery
Amazon Prime #5611,Entertainment
Reliance Trends #5316,Shopping
UNICEF #5191,Donations
Chegg #7724,Education
Narayana Health #9762,Healthcare
Burger King #7335,Coffee & Dining
SonyLIV #8320,Entertainment
Dominos #7889,Coffee & Dining
Best Buy Electronics #6164,Electronics
Cable TV Bill #1161,Bills & Utilities
MakeMyTrip #3258,Travel
Burger King #7693,Coffee & Dining
Lyft #1162,Transport
Aldi #1446,Groceries
Fortis Hospital #7271,Healthcare
Indian Oil #3943,Fuel
Aldi #8625,Groceries
Myntra #6374,Shopping
Child Rights and You #2601,Donations
Broadband Bill #7224,Bills & Utilities
AIIMS #5190,Healthcare
Udemy #6068,Education
Unacademy #5463,Education
Zomato #5402,Food Delivery
Amazon #7131,Shopping
Mobile Recharge #3457,Bills & Utilities
HelpAge India #3982,Donations
Save the Children #1486,Donations
KFC #8861,Coffee & Dining
Barista #5371,Coffee & Dining
Byju's #8712,Education
ICICI ATM #2438,Cash Withdrawal
Aditya Birla Sun Life #2620,Insurance
